Authors,Publication Year,Data Collection Period,Species,Region,Manuscript Region,Specific Location,n,Sample Type,Chemical,FA class,Concentration,Concentration units,Tissue,Notes,DOI or Link,type
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,7,Varies by study,DDTs,,7.7,ng/g ww,Fillet,Thompson Population from Veldhoen et al. (2010),,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,2,Varies by study,DDTs,,5.5,ng/g ww,Fillet,Shuswap population from Veldhoen et al. (2010),,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,DDTs,,4.3,ng/g ww,Fillet,Harrison Population from Cullon et al. (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,36,Varies by study,DDTs,,29.1,ng/g ww,Whole Body,Puget sound mixed from O'Neill et al. (2006),,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Coho,Washington,BC/WC,Pudget Sound,266,Varies by study,DDTs,,11.7,ng/g ww,Fillet,Population: Pudget sound mixed from (O'Neill et al (1998)),,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,NA,NA,2,Varies by study,PBDEs,,0.95,ng/g ww,Fillet,from Hayward et al. (2010); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Alaska,Bering Sea,Aleutian Islands,3,Varies by study,PBDEs,,0.71,ng/g ww,Fillet+Skin,from Shaw et al. (2008); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,BC North Coast,30,Varies by study,PBDEs,,0.08,ng/g ww,Whole Body,Skeena Population from O'Neill et al (2006); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,7,Varies by study,PBDEs,,1.54,ng/g ww,Fillet,Thompson Population from Veldhoen et al. (2010); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,British Columbia,BC/WC,Fraser River,6,Varies by study,PBDEs,,17.7,ng/g ww,Fillet,Harrison Population from Cullon et al. (2009); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,17,Varies by study,PBDEs,,3.69,ng/g ww,Whole Body,from O'Neill et all (2006); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,20,Varies by study,PBDEs,,9.77,ng/g ww,Whole Body,from O'Neill et all (2006); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,4,Varies by study,PBDEs,,2.3,ng/g ww,Whole Body,Fall chinook from (Stone (2006)); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PBDEs,,1.8,ng/g ww,Fillet+Skin,Clackamas River from (Stone (2006)); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Oregon,BC/WC,Columbia River,3,Varies by study,PBDEs,,1.5,ng/g ww,Fillet,Clackamas River from (Stone (2006)); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Pudget Sound,34,Varies by study,PBDEs,,42.2,ng/g ww,Whole Body,Population: Pudget Sound Mixed from (O'Neill et al (2006)); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,3,Varies by study,PBDEs,,6.43,ng/g ww,Whole Body,Duwamish River from Cullon et al. (2009); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Chinook,Washington,BC/WC,Puget Sound,36,Varies by study,PBDEs,,18.9,ng/g ww,Whole Body,Puget sound mixed from O'Neill et al. (2006); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Coho,Alaska,NA,NA,2,Varies by study,PBDEs,,0.32,ng/g ww,Fillet,from Hayward et al (2009); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2010",Sockeye,Alaska,NA,NA,2,Varies by study,PBDEs,,0.21,ng/g ww,Fillet,from Hayward et al. (2007); specific combination of PBDEs varies by study,,contaminant
NOAA,2016,"Various, from studies published 1998-2011",Chinook,Washington,BC/WC,Puget Sound,28,Varies by study,PCBs,,37,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2012",Chinook,Washington,BC/WC,Puget Sound,29,Varies by study,PCBs,,40,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2013",Chinook,Washington,BC/WC,Puget Sound,65,Varies by study,PCBs,,56,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2014",Chinook,Washington,BC/WC,Puget Sound,20,Varies by study,PCBs,,41,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2015",Chinook,Washington,BC/WC,Puget Sound,34,Varies by study,PCBs,,59,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
NOAA,2016,"Various, from studies published 1998-2016",Chinook,Washington,BC/WC,Puget Sound,28,Varies by study,PCBs,,76,ng/g ww,Fillet,from O'Neill and West (2009),,contaminant
San Francisco Estuary Institute,2007,2006,Chinook,California,BC/WC,Sacramento River,1,Individual,Hg_Total,,0.094,mg/kg ww,Fillet,,,contaminant
San Francisco Estuary Institute,2007,2006,Chinook,California,BC/WC,Shasta Lake,10,Individual,Hg_Total,,0.3,mg/kg ww,Fillet,,,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Klickitat River,3,Composite,Hg_Total,,0.51,mg/kg ww,Fillet+Skin,,,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,Hg_Total,,0.084,mg/kg ww,Fillet+Skin,,,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,Hg_Total,,0.077,mg/kg ww,Whole Body,,,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,Hg_Total,,0.1,mg/kg ww,Fillet+Skin,,,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,Hg_Total,,0.064,mg/kg ww,Whole Body,,,contaminant
US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,Hg_Total,,0.12,mg/kg ww,Fillet+Skin,,,contaminant
US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,Hg_Total,,0.1,mg/kg ww,Whole Body,,,contaminant
US EPA,2011,NA,Chinook,Washington,BC/WC,NA,116,Individual,Hg_Total,,0.09,mg/kg ww,Fillet,Tissue unspecified; assume fillet concentration is the concentration reported,,contaminant
US EPA,2011,NA,Coho,Washington,BC/WC,NA,167,Individual,Hg_Total,,0.046,mg/kg ww,Fillet,Tissue unspecified; assume fillet concentration is the concentration reported,,contaminant
US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,PCBs,,38,ug/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,PCBs,,40,ug/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,PCBs,,40,ug/kg ww,Whole Body,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260",,contaminant
US EPA,1998,1996-1998,Coho,Washington,BC/WC,Columbia River Basin,3,Composite,DDTs,,42,ng/g ww,Whole Body,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,24,Composite,DDTs,,27,ng/g ww,Whole Body,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
US EPA,1998,1996-1998,Chinook,Washington,BC/WC,Columbia River Basin,15,Composite,DDTs,,25,ng/g ww,Whole Body,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
US FDA,2011,1992-1993,Chum,USA,NA,Store-bought,9,Individual,Hg_Methyl,,0.02,mg/kg ww,Fillet,,,contaminant
US FDA,2011,1991-1992,Coho,USA,NA,Store-bought,3,Individual,Hg_Methyl,,0.063,mg/kg ww,Fillet,,,contaminant
US FDA,2011,1992-1993,Pink,USA,NA,Store-bought,6,Individual,Hg_Methyl,,0.005,mg/kg ww,Fillet,,,contaminant
US FDA,2011,1993,Sockeye,USA,NA,Store-bought,1,Individual,Hg_Methyl,,0.005,mg/kg ww,Fillet,,,contaminant
WA Dept of Fish and Wildlife,2001,1989-1999,Chinook,Washington,BC/WC,Puget Sound,106,Individual,Hg_Total,,0.093,mg/kg ww,Fillet,,,contaminant
WA Dept of Fish and Wildlife,2001,1989-1999,Coho,Washington,BC/WC,Puget Sound,108,Individual,Hg_Total,,0.049,mg/kg ww,Fillet,,,contaminant
West et al.,2001,1990-1998,Coho,Washington,BC/WC,Puget Sound,47,Composite,PCBs,,19.3,ng/g ww,Fillet,"Aroclor 1016, 1221, 1232, 1242, 1248, 1254, 1260 and 15 congeners",,contaminant
West et al.,2001,1990-1998,Chinook,Washington,BC/WC,Pudget Sound,228,Composite,DDTs,,21.4,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Zhang et al.,2001,1999,Chinook,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.096,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Chinook,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.092,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Chinook,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.05,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chinook,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.08,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chinook,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.06,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chinook,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.07,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Chum,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.058,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Chum,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.072,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Chum,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.068,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chum,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.074,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chum,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.073,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Chum,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.084,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Coho,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.049,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Coho,Alaska,Bering Sea,Kvichak,5,Individual,Hg_Total,,0.047,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Coho,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.044,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Coho,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.057,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Coho,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.059,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Coho,Alaska,Bering Sea,Yukon River,6,Individual,Hg_Total,,0.058,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Sockeye,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.034,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,1999,Sockeye,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.038,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Sockeye,Alaska,Bering Sea,Kuskokwim,6,Individual,Hg_Total,,0.051,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Sockeye,Alaska,Bering Sea,Kvichak,6,Individual,Hg_Total,,0.058,mg/kg ww,Fillet,,,contaminant
Zhang et al.,2001,2000,Sockeye,Alaska,Bering Sea,Nushagak,6,Individual,Hg_Total,,0.061,mg/kg ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,77,Individual,PBDEs,,0.4,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,15,Individual,PBDEs,,0.4,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,50,Individual,PBDEs,,0.18,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,2,Individual,PBDEs,,0.32,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,113,Individual,PBDEs,,0.18,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,58,Individual,PBDEs,,0.27,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Pink,Alaska,NA,NA,24,Individual,PBDEs,,0.27,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,68,Individual,PBDEs,,0.3,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,20,Individual,PBDEs,,0.73,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,7,Composite,PBDEs,,0.75,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,70,Individual,DDTs,,8.51,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,15,Individual,DDTs,,14.53,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,23,Individual,DDTs,,1.63,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,81,Individual,DDTs,,0.96,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,54,Individual,DDTs,,2.63,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Pink,Alaska,NA,NA,11,Individual,DDTs,,0.64,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,6,Composite,DDTs,,8.94,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,45,Individual,DDTs,,6.94,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,16,Individual,DDTs,,5.17,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chum,Alaska,NA,NA,282,Individual,Hg_Total,,0.041,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chum,Alaska,NA,NA,2,Individual,Hg_Total,,0.01,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,326,Individual,Hg_Total,,0.042,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,64,Individual,Hg_Total,,0.034,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,2,Composite,Hg_Total,,0.023,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chinook,Alaska,NA,NA,243,Individual,Hg_Total,,0.063,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chinook,Alaska,NA,NA,21,Individual,Hg_Total,,0.045,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Pink,Alaska,NA,NA,185,Individual,Hg_Total,,0.01,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,290,Individual,Hg_Total,,0.041,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,56,Individual,Hg_Total,,0.033,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,1,Composite,Hg_Total,,0.094,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
