Year,pink_Bering Sea,pink_Central AK,pink_SEAK,pink_BC/WC,chum_Bering Sea,chum_Central AK,chum_SEAK,chum_BC/WC,sockeye_Bering Sea,sockeye_Central AK,sockeye_SEAK/BC/WC
1952,4,7,10,3.7,3.9,2.1,2.3,3,12.9,1.9,6.7
1953,0.3,7.1,6.5,8.3,3.9,2.1,2.2,2.3,5.7,1.5,6.7
1954,3.9,10.8,9.4,6.4,4.1,2.9,2.3,2.4,4.7,2.1,8
1955,0.3,10.5,9.7,5.1,3.7,2.2,1.6,1.8,2.5,1.9,5.2
1956,3.9,7.9,12.5,4.5,4,2.5,2,1.9,13.5,2.3,5.3
1957,0.3,4.8,8,3.4,3.9,2.9,2.2,3.8,7.1,2.1,4.1
1958,2.9,6.7,10.1,3.3,4,2.2,2,2.8,3.9,1.9,6.9
1959,0.3,7.6,8.7,2.8,4.1,2.5,1.5,3.3,9.1,2,8.5
1960,3.7,9.7,4.7,4.8,4.6,2.5,1,2.7,23.5,2.2,6.6
1961,0.2,10.7,3.2,11.1,3.6,1.9,1.2,2.5,7.4,2.2,7.6
1962,2.3,12.2,6.5,14.3,3.8,2.9,1.3,2.9,7,2.6,7.1
1963,0.3,9,11.2,7.9,3,2.3,1.1,3.5,4.9,2.4,9.1
1964,2.1,15.5,7.8,8.5,3.6,3.3,1.1,4.5,5.8,2.3,6.4
1965,0.1,6.4,6.9,18,3.2,1.6,1.2,2.2,30.7,2,4
1966,3.2,11.5,9.5,7.8,3.2,2.4,1.7,4.5,10,2.7,5.7
1967,0.2,4.5,3.1,14.6,3,1.5,2.3,3.2,7.2,2.5,4.9
1968,6.6,11.1,8.3,15.4,3.3,2.3,1.3,5.8,5.8,2.6,11.4
1969,0.4,6.9,6.4,11.2,3.1,1.1,0.9,3.7,14.7,2,4
1970,1.3,8.9,7.3,7.5,4.2,1.9,2.1,6.2,20.4,1.9,6.6
1971,0.1,6.5,9.4,4.3,3.6,2,2.4,3.1,8.3,2.6,23
1972,0.4,4.3,8.4,10.1,3.4,2.2,2.5,7.1,4.1,2.2,6.4
1973,0.3,5.4,8.1,4.4,4,3,2.7,6.5,2.4,2.4,8.6
1974,2.8,6.5,7.1,8.7,4.5,1.9,2.9,3.9,10,2.7,8.2
1975,0.3,7.3,9,11.8,6.1,2.4,1.8,2.5,21,2.3,5
1976,2.9,10.5,23,9.3,4.4,1.5,5.1,4.1,7.1,3.2,3.9
1977,0.3,12.2,10.9,6.9,5.2,5.3,0.7,4.8,5.9,3.6,7.8
1978,13.1,16.1,18.9,8.4,5.6,2.5,0.9,5.6,12.8,2.2,6.7
1979,0.8,16,22.1,4.5,4.7,3.5,2,3.2,22.2,1.9,8.1
1980,7.2,14,17.6,7,6.9,2.3,2.3,4,44.4,1.8,5.5
1981,1.1,13.9,20.1,6.5,6.4,3.8,1,5.5,13,0.9,9.5
1982,5,13.5,18.1,5.2,4.4,3.3,1.1,5.8,10.8,1.6,12.7
1983,0.4,11.4,24.1,16.7,4.3,3,0.8,4.4,11.9,2.2,8.5
1984,4.8,21.2,27.3,7.8,6.8,3.4,3.6,4.8,19.2,2.4,6.8
1985,0.2,14.9,45.9,16.1,5.6,4.3,2.5,7.3,17.4,3.3,9.6
1986,1,13.7,39,15.2,5.2,3.4,2.2,8.5,10.1,3.3,8.2
1987,0.2,14.1,22,22.1,5.1,2.9,3.6,5.6,13.2,3,7.8
1988,5.4,17.1,13.4,12.3,6.3,4,3.2,6.2,11.2,2.9,6.5
1989,0.2,27.2,30.4,5.1,5.5,3,0.9,6.6,18.9,2.2,6.9
1990,4.7,14.8,24.2,16.5,4.5,1.8,1.2,8.5,18.1,3,10.2
1991,0.2,21.1,27.3,22.7,5.1,2.3,1.1,8.5,20.6,3.5,9
1992,2.8,12.3,27.2,13.6,4.4,2.2,2.8,9.3,17.2,2.1,8.1
1993,1,14.9,30,22.1,3.5,1.3,2.6,8.6,16.8,3.3,15.2
1994,8,12.9,34.6,5.5,7.1,2.3,3.5,11.5,19.4,4.7,8
1995,0.1,30.4,36,22.3,8.3,2.8,4,8.6,21.3,4.1,6.2
1996,3.9,13.4,61,20.3,8.9,2.3,5.1,8.3,11.4,3,7.9
1997,0.2,20.1,37.2,13.7,4.3,3.3,4.3,6.5,9.7,3.6,9
1998,3.7,23,40.4,8.5,4.6,3.1,6.4,15.5,11.4,3.6,11.1
1999,0.1,24.2,77,14.4,5,3.2,5.8,7.2,19,4.9,5.7
2000,2.3,20.1,30.6,15.6,3,3.5,7.3,5,12.8,6.2,9.2
2001,0.1,19.2,48.4,20.4,5.3,3.8,3.5,8.5,11.6,5.9,10.2
2002,2.6,20.5,53.6,11.2,5.5,2.6,3.2,8.2,7.9,5.4,16.2
2003,0.6,28,44.1,34.6,6.5,4.4,3,6.2,12.2,8.7,8.8
2004,7.2,31.1,40.1,9.4,5.6,3.3,4.2,9.5,18.9,4.6,8.6
2005,2.6,32.9,50.1,37.4,9.9,3,6.4,6.7,16.7,3.8,9
2006,3.5,17,25.8,3.4,5.8,3.7,4.4,7,12.9,4.6,12.9
2007,0.6,25.2,44.1,19,5.9,3.6,2.3,5.3,13.1,3.1,3.9
2008,3.4,14.3,23.9,4.1,5.4,2,1.8,4.3,13.6,2.6,5.1
2009,0.3,17.5,32.5,29.9,5.3,2.3,1.9,5,9.7,2.9,4.6
2010,3.3,11.4,28.5,8.5,6.9,1.8,2.2,3.9,9.9,4.4,22.3
2011,1,19,44.1,25,9.6,3.2,2.1,7.2,8.8,4.9,10.1
2012,2.7,9.1,28,10.2,8.5,2.7,2.3,5.4,9.4,5.1,6.5
2013,1,30,64,34.2,8.4,2.9,2.4,4.9,10.2,4.8,6.9
2014,3.3,10.4,35.4,17.4,8.4,1.9,3.1,5.2,13.5,5.8,15
2015,1,41,30.3,34.8,6.9,3.7,3.8,4.6,23.2,5.8,3.4
