species,location,year,mean,sd,units
Chinook,BCWC,1976,6245,1325,Metric Tons
Chinook,BCWC,1977,6436,1201,Metric Tons
Chinook,BCWC,1978,6650,1111,Metric Tons
Chinook,BCWC,1979,6892,1052,Metric Tons
Chinook,BCWC,1980,7166,1012,Metric Tons
Chinook,BCWC,1981,7477,982,Metric Tons
Chinook,BCWC,1982,7823,964,Metric Tons
Chinook,BCWC,1983,8202,965,Metric Tons
Chinook,BCWC,1984,8606,986,Metric Tons
Chinook,BCWC,1985,9025,1024,Metric Tons
Chinook,BCWC,1986,9447,1073,Metric Tons
Chinook,BCWC,1987,9862,1135,Metric Tons
Chinook,BCWC,1988,10259,1202,Metric Tons
Chinook,BCWC,1989,10626,1265,Metric Tons
Chinook,BCWC,1990,10958,1311,Metric Tons
Chinook,BCWC,1991,11251,1342,Metric Tons
Chinook,BCWC,1992,11506,1366,Metric Tons
Chinook,BCWC,1993,11731,1388,Metric Tons
Chinook,BCWC,1994,11937,1411,Metric Tons
Chinook,BCWC,1995,12137,1434,Metric Tons
Chinook,BCWC,1996,12342,1457,Metric Tons
Chinook,BCWC,1997,12557,1480,Metric Tons
Chinook,BCWC,1998,12773,1505,Metric Tons
Chinook,BCWC,1999,12975,1542,Metric Tons
Chinook,BCWC,2000,13136,1594,Metric Tons
Chinook,BCWC,2001,13225,1648,Metric Tons
Chinook,BCWC,2002,13213,1668,Metric Tons
Chinook,BCWC,2003,13087,1634,Metric Tons
Chinook,BCWC,2004,12856,1554,Metric Tons
Chinook,BCWC,2005,12548,1466,Metric Tons
Chinook,BCWC,2006,12197,1404,Metric Tons
Chinook,BCWC,2007,11837,1378,Metric Tons
Chinook,BCWC,2008,11494,1383,Metric Tons
Chinook,BCWC,2009,11183,1412,Metric Tons
Chinook,BCWC,2010,10907,1459,Metric Tons
Chinook,BCWC,2011,10665,1522,Metric Tons
Chinook,BCWC,2012,10449,1605,Metric Tons
Chinook,BCWC,2013,10255,1725,Metric Tons
Chinook,BCWC,2014,10082,1896,Metric Tons
Chinook,BCWC,2015,9929,2120,Metric Tons
Chinook,BeringSea,1976,5001,1193,Metric Tons
Chinook,BeringSea,1977,4942,971,Metric Tons
Chinook,BeringSea,1978,4891,811,Metric Tons
Chinook,BeringSea,1979,4830,711,Metric Tons
Chinook,BeringSea,1980,4746,649,Metric Tons
Chinook,BeringSea,1981,4631,605,Metric Tons
Chinook,BeringSea,1982,4491,576,Metric Tons
Chinook,BeringSea,1983,4336,564,Metric Tons
Chinook,BeringSea,1984,4186,565,Metric Tons
Chinook,BeringSea,1985,4056,573,Metric Tons
Chinook,BeringSea,1986,3963,582,Metric Tons
Chinook,BeringSea,1987,3915,588,Metric Tons
Chinook,BeringSea,1988,3917,586,Metric Tons
Chinook,BeringSea,1989,3968,575,Metric Tons
Chinook,BeringSea,1990,4058,563,Metric Tons
Chinook,BeringSea,1991,4176,561,Metric Tons
Chinook,BeringSea,1992,4303,574,Metric Tons
Chinook,BeringSea,1993,4419,594,Metric Tons
Chinook,BeringSea,1994,4505,607,Metric Tons
Chinook,BeringSea,1995,4553,613,Metric Tons
Chinook,BeringSea,1996,4562,618,Metric Tons
Chinook,BeringSea,1997,4539,626,Metric Tons
Chinook,BeringSea,1998,4491,628,Metric Tons
Chinook,BeringSea,1999,4424,621,Metric Tons
Chinook,BeringSea,2000,4339,610,Metric Tons
Chinook,BeringSea,2001,4232,599,Metric Tons
Chinook,BeringSea,2002,4093,586,Metric Tons
Chinook,BeringSea,2003,3912,563,Metric Tons
Chinook,BeringSea,2004,3683,528,Metric Tons
Chinook,BeringSea,2005,3411,482,Metric Tons
Chinook,BeringSea,2006,3109,429,Metric Tons
Chinook,BeringSea,2007,2801,378,Metric Tons
Chinook,BeringSea,2008,2506,339,Metric Tons
Chinook,BeringSea,2009,2242,316,Metric Tons
Chinook,BeringSea,2010,2017,301,Metric Tons
Chinook,BeringSea,2011,1832,288,Metric Tons
Chinook,BeringSea,2012,1683,275,Metric Tons
Chinook,BeringSea,2013,1564,269,Metric Tons
Chinook,BeringSea,2014,1466,279,Metric Tons
Chinook,BeringSea,2015,1384,308,Metric Tons
Chinook,CentralAK,1976,722,169,Metric Tons
Chinook,CentralAK,1977,745,150,Metric Tons
Chinook,CentralAK,1978,770,135,Metric Tons
Chinook,CentralAK,1979,798,124,Metric Tons
Chinook,CentralAK,1980,828,116,Metric Tons
Chinook,CentralAK,1981,859,113,Metric Tons
Chinook,CentralAK,1982,889,112,Metric Tons
Chinook,CentralAK,1983,917,115,Metric Tons
Chinook,CentralAK,1984,940,117,Metric Tons
Chinook,CentralAK,1985,958,118,Metric Tons
Chinook,CentralAK,1986,970,118,Metric Tons
Chinook,CentralAK,1987,977,117,Metric Tons
Chinook,CentralAK,1988,980,118,Metric Tons
Chinook,CentralAK,1989,982,118,Metric Tons
Chinook,CentralAK,1990,981,118,Metric Tons
Chinook,CentralAK,1991,979,118,Metric Tons
Chinook,CentralAK,1992,975,119,Metric Tons
Chinook,CentralAK,1993,968,119,Metric Tons
Chinook,CentralAK,1994,957,119,Metric Tons
Chinook,CentralAK,1995,941,119,Metric Tons
Chinook,CentralAK,1996,920,117,Metric Tons
Chinook,CentralAK,1997,895,114,Metric Tons
Chinook,CentralAK,1998,867,111,Metric Tons
Chinook,CentralAK,1999,837,106,Metric Tons
Chinook,CentralAK,2000,805,101,Metric Tons
Chinook,CentralAK,2001,772,95,Metric Tons
Chinook,CentralAK,2002,738,88,Metric Tons
Chinook,CentralAK,2003,703,82,Metric Tons
Chinook,CentralAK,2004,668,76,Metric Tons
Chinook,CentralAK,2005,633,71,Metric Tons
Chinook,CentralAK,2006,598,67,Metric Tons
Chinook,CentralAK,2007,564,64,Metric Tons
Chinook,CentralAK,2008,533,62,Metric Tons
Chinook,CentralAK,2009,505,61,Metric Tons
Chinook,CentralAK,2010,481,61,Metric Tons
Chinook,CentralAK,2011,460,62,Metric Tons
Chinook,CentralAK,2012,442,64,Metric Tons
Chinook,CentralAK,2013,427,69,Metric Tons
Chinook,CentralAK,2014,415,76,Metric Tons
Chinook,CentralAK,2015,404,86,Metric Tons
Chinook,SEAK,1976,469,109,Metric Tons
Chinook,SEAK,1977,496,98,Metric Tons
Chinook,SEAK,1978,524,90,Metric Tons
Chinook,SEAK,1979,553,85,Metric Tons
Chinook,SEAK,1980,582,82,Metric Tons
Chinook,SEAK,1981,611,82,Metric Tons
Chinook,SEAK,1982,639,83,Metric Tons
Chinook,SEAK,1983,666,86,Metric Tons
Chinook,SEAK,1984,693,89,Metric Tons
Chinook,SEAK,1985,719,92,Metric Tons
Chinook,SEAK,1986,745,96,Metric Tons
Chinook,SEAK,1987,772,99,Metric Tons
Chinook,SEAK,1988,798,103,Metric Tons
Chinook,SEAK,1989,824,106,Metric Tons
Chinook,SEAK,1990,847,109,Metric Tons
Chinook,SEAK,1991,866,112,Metric Tons
Chinook,SEAK,1992,881,113,Metric Tons
Chinook,SEAK,1993,891,114,Metric Tons
Chinook,SEAK,1994,895,113,Metric Tons
Chinook,SEAK,1995,894,110,Metric Tons
Chinook,SEAK,1996,889,107,Metric Tons
Chinook,SEAK,1997,879,104,Metric Tons
Chinook,SEAK,1998,864,102,Metric Tons
Chinook,SEAK,1999,845,100,Metric Tons
Chinook,SEAK,2000,820,98,Metric Tons
Chinook,SEAK,2001,791,95,Metric Tons
Chinook,SEAK,2002,757,91,Metric Tons
Chinook,SEAK,2003,719,86,Metric Tons
Chinook,SEAK,2004,677,80,Metric Tons
Chinook,SEAK,2005,634,76,Metric Tons
Chinook,SEAK,2006,591,72,Metric Tons
Chinook,SEAK,2007,549,69,Metric Tons
Chinook,SEAK,2008,510,66,Metric Tons
Chinook,SEAK,2009,474,64,Metric Tons
Chinook,SEAK,2010,442,62,Metric Tons
Chinook,SEAK,2011,413,61,Metric Tons
Chinook,SEAK,2012,388,60,Metric Tons
Chinook,SEAK,2013,366,61,Metric Tons
Chinook,SEAK,2014,347,65,Metric Tons
Chinook,SEAK,2015,329,71,Metric Tons
Chum,BCWC,1976,23508,5055,Metric Tons
Chum,BCWC,1977,24041,4521,Metric Tons
Chum,BCWC,1978,24637,4125,Metric Tons
Chum,BCWC,1979,25301,3865,Metric Tons
Chum,BCWC,1980,26037,3702,Metric Tons
Chum,BCWC,1981,26846,3594,Metric Tons
Chum,BCWC,1982,27731,3524,Metric Tons
Chum,BCWC,1983,28694,3497,Metric Tons
Chum,BCWC,1984,29730,3512,Metric Tons
Chum,BCWC,1985,30832,3567,Metric Tons
Chum,BCWC,1986,31988,3659,Metric Tons
Chum,BCWC,1987,33182,3785,Metric Tons
Chum,BCWC,1988,34393,3933,Metric Tons
Chum,BCWC,1989,35588,4090,Metric Tons
Chum,BCWC,1990,36730,4260,Metric Tons
Chum,BCWC,1991,37774,4458,Metric Tons
Chum,BCWC,1992,38675,4680,Metric Tons
Chum,BCWC,1993,39385,4878,Metric Tons
Chum,BCWC,1994,39867,5005,Metric Tons
Chum,BCWC,1995,40102,5043,Metric Tons
Chum,BCWC,1996,40091,5008,Metric Tons
Chum,BCWC,1997,39846,4923,Metric Tons
Chum,BCWC,1998,39385,4805,Metric Tons
Chum,BCWC,1999,38731,4668,Metric Tons
Chum,BCWC,2000,37906,4524,Metric Tons
Chum,BCWC,2001,36934,4374,Metric Tons
Chum,BCWC,2002,35840,4211,Metric Tons
Chum,BCWC,2003,34658,4035,Metric Tons
Chum,BCWC,2004,33426,3869,Metric Tons
Chum,BCWC,2005,32183,3739,Metric Tons
Chum,BCWC,2006,30963,3644,Metric Tons
Chum,BCWC,2007,29791,3566,Metric Tons
Chum,BCWC,2008,28684,3505,Metric Tons
Chum,BCWC,2009,27652,3483,Metric Tons
Chum,BCWC,2010,26697,3526,Metric Tons
Chum,BCWC,2011,25811,3643,Metric Tons
Chum,BCWC,2012,24988,3842,Metric Tons
Chum,BCWC,2013,24224,4144,Metric Tons
Chum,BCWC,2014,23520,4566,Metric Tons
Chum,BCWC,2015,22875,5094,Metric Tons
Chum,BeringSea,1976,16784,3013,Metric Tons
Chum,BeringSea,1977,16822,2699,Metric Tons
Chum,BeringSea,1978,16876,2446,Metric Tons
Chum,BeringSea,1979,16945,2251,Metric Tons
Chum,BeringSea,1980,17025,2103,Metric Tons
Chum,BeringSea,1981,17114,1990,Metric Tons
Chum,BeringSea,1982,17207,1908,Metric Tons
Chum,BeringSea,1983,17302,1850,Metric Tons
Chum,BeringSea,1984,17393,1810,Metric Tons
Chum,BeringSea,1985,17481,1779,Metric Tons
Chum,BeringSea,1986,17566,1757,Metric Tons
Chum,BeringSea,1987,17653,1746,Metric Tons
Chum,BeringSea,1988,17746,1748,Metric Tons
Chum,BeringSea,1989,17849,1753,Metric Tons
Chum,BeringSea,1990,17964,1757,Metric Tons
Chum,BeringSea,1991,18093,1758,Metric Tons
Chum,BeringSea,1992,18233,1760,Metric Tons
Chum,BeringSea,1993,18383,1769,Metric Tons
Chum,BeringSea,1994,18539,1788,Metric Tons
Chum,BeringSea,1995,18700,1816,Metric Tons
Chum,BeringSea,1996,18866,1851,Metric Tons
Chum,BeringSea,1997,19041,1888,Metric Tons
Chum,BeringSea,1998,19229,1924,Metric Tons
Chum,BeringSea,1999,19438,1958,Metric Tons
Chum,BeringSea,2000,19673,1993,Metric Tons
Chum,BeringSea,2001,19939,2030,Metric Tons
Chum,BeringSea,2002,20239,2065,Metric Tons
Chum,BeringSea,2003,20572,2099,Metric Tons
Chum,BeringSea,2004,20934,2133,Metric Tons
Chum,BeringSea,2005,21324,2175,Metric Tons
Chum,BeringSea,2006,21734,2229,Metric Tons
Chum,BeringSea,2007,22161,2300,Metric Tons
Chum,BeringSea,2008,22599,2395,Metric Tons
Chum,BeringSea,2009,23049,2530,Metric Tons
Chum,BeringSea,2010,23509,2723,Metric Tons
Chum,BeringSea,2011,23983,2984,Metric Tons
Chum,BeringSea,2012,24473,3325,Metric Tons
Chum,BeringSea,2013,24983,3768,Metric Tons
Chum,BeringSea,2014,25522,4331,Metric Tons
Chum,BeringSea,2015,26094,5022,Metric Tons
Chum,CentralAK,1976,11993,2172,Metric Tons
Chum,CentralAK,1977,11867,1898,Metric Tons
Chum,CentralAK,1978,11752,1684,Metric Tons
Chum,CentralAK,1979,11643,1524,Metric Tons
Chum,CentralAK,1980,11534,1405,Metric Tons
Chum,CentralAK,1981,11420,1312,Metric Tons
Chum,CentralAK,1982,11297,1242,Metric Tons
Chum,CentralAK,1983,11162,1191,Metric Tons
Chum,CentralAK,1984,11015,1152,Metric Tons
Chum,CentralAK,1985,10854,1118,Metric Tons
Chum,CentralAK,1986,10682,1091,Metric Tons
Chum,CentralAK,1987,10503,1079,Metric Tons
Chum,CentralAK,1988,10326,1084,Metric Tons
Chum,CentralAK,1989,10160,1103,Metric Tons
Chum,CentralAK,1990,10013,1127,Metric Tons
Chum,CentralAK,1991,9895,1147,Metric Tons
Chum,CentralAK,1992,9811,1155,Metric Tons
Chum,CentralAK,1993,9764,1142,Metric Tons
Chum,CentralAK,1994,9754,1109,Metric Tons
Chum,CentralAK,1995,9775,1060,Metric Tons
Chum,CentralAK,1996,9820,1012,Metric Tons
Chum,CentralAK,1997,9881,983,Metric Tons
Chum,CentralAK,1998,9945,984,Metric Tons
Chum,CentralAK,1999,10000,1011,Metric Tons
Chum,CentralAK,2000,10037,1053,Metric Tons
Chum,CentralAK,2001,10050,1094,Metric Tons
Chum,CentralAK,2002,10035,1121,Metric Tons
Chum,CentralAK,2003,9991,1127,Metric Tons
Chum,CentralAK,2004,9922,1116,Metric Tons
Chum,CentralAK,2005,9830,1096,Metric Tons
Chum,CentralAK,2006,9721,1075,Metric Tons
Chum,CentralAK,2007,9601,1060,Metric Tons
Chum,CentralAK,2008,9476,1059,Metric Tons
Chum,CentralAK,2009,9353,1079,Metric Tons
Chum,CentralAK,2010,9237,1120,Metric Tons
Chum,CentralAK,2011,9132,1176,Metric Tons
Chum,CentralAK,2012,9040,1246,Metric Tons
Chum,CentralAK,2013,8962,1339,Metric Tons
Chum,CentralAK,2014,8899,1467,Metric Tons
Chum,CentralAK,2015,8848,1637,Metric Tons
Chum,SEAK,1976,12251,3222,Metric Tons
Chum,SEAK,1977,10540,2089,Metric Tons
Chum,SEAK,1978,9271,1604,Metric Tons
Chum,SEAK,1979,8429,1466,Metric Tons
Chum,SEAK,1980,7973,1406,Metric Tons
Chum,SEAK,1981,7856,1337,Metric Tons
Chum,SEAK,1982,8018,1288,Metric Tons
Chum,SEAK,1983,8369,1308,Metric Tons
Chum,SEAK,1984,8781,1387,Metric Tons
Chum,SEAK,1985,9106,1452,Metric Tons
Chum,SEAK,1986,9240,1470,Metric Tons
Chum,SEAK,1987,9174,1478,Metric Tons
Chum,SEAK,1988,8999,1523,Metric Tons
Chum,SEAK,1989,8855,1618,Metric Tons
Chum,SEAK,1990,8886,1746,Metric Tons
Chum,SEAK,1991,9210,1874,Metric Tons
Chum,SEAK,1992,9919,1976,Metric Tons
Chum,SEAK,1993,11073,2045,Metric Tons
Chum,SEAK,1994,12685,2130,Metric Tons
Chum,SEAK,1995,14668,2341,Metric Tons
Chum,SEAK,1996,16799,2753,Metric Tons
Chum,SEAK,1997,18719,3246,Metric Tons
Chum,SEAK,1998,20062,3594,Metric Tons
Chum,SEAK,1999,20617,3683,Metric Tons
Chum,SEAK,2000,20412,3576,Metric Tons
Chum,SEAK,2001,19638,3369,Metric Tons
Chum,SEAK,2002,18513,3081,Metric Tons
Chum,SEAK,2003,17207,2718,Metric Tons
Chum,SEAK,2004,15831,2357,Metric Tons
Chum,SEAK,2005,14445,2094,Metric Tons
Chum,SEAK,2006,13091,1938,Metric Tons
Chum,SEAK,2007,11826,1840,Metric Tons
Chum,SEAK,2008,10728,1781,Metric Tons
Chum,SEAK,2009,9887,1764,Metric Tons
Chum,SEAK,2010,9371,1763,Metric Tons
Chum,SEAK,2011,9217,1737,Metric Tons
Chum,SEAK,2012,9447,1686,Metric Tons
Chum,SEAK,2013,10081,1741,Metric Tons
Chum,SEAK,2014,11132,2246,Metric Tons
Chum,SEAK,2015,12593,3494,Metric Tons
Coho,BCWC,1976,4855,1134,Metric Tons
Coho,BCWC,1977,4760,941,Metric Tons
Coho,BCWC,1978,4678,801,Metric Tons
Coho,BCWC,1979,4607,709,Metric Tons
Coho,BCWC,1980,4545,648,Metric Tons
Coho,BCWC,1981,4489,606,Metric Tons
Coho,BCWC,1982,4439,577,Metric Tons
Coho,BCWC,1983,4394,559,Metric Tons
Coho,BCWC,1984,4353,548,Metric Tons
Coho,BCWC,1985,4318,541,Metric Tons
Coho,BCWC,1986,4289,540,Metric Tons
Coho,BCWC,1987,4268,547,Metric Tons
Coho,BCWC,1988,4256,562,Metric Tons
Coho,BCWC,1989,4258,581,Metric Tons
Coho,BCWC,1990,4277,602,Metric Tons
Coho,BCWC,1991,4319,623,Metric Tons
Coho,BCWC,1992,4389,643,Metric Tons
Coho,BCWC,1993,4494,657,Metric Tons
Coho,BCWC,1994,4641,663,Metric Tons
Coho,BCWC,1995,4835,659,Metric Tons
Coho,BCWC,1996,5078,654,Metric Tons
Coho,BCWC,1997,5369,661,Metric Tons
Coho,BCWC,1998,5698,696,Metric Tons
Coho,BCWC,1999,6046,768,Metric Tons
Coho,BCWC,2000,6386,864,Metric Tons
Coho,BCWC,2001,6687,954,Metric Tons
Coho,BCWC,2002,6923,1012,Metric Tons
Coho,BCWC,2003,7080,1025,Metric Tons
Coho,BCWC,2004,7161,1005,Metric Tons
Coho,BCWC,2005,7179,978,Metric Tons
Coho,BCWC,2006,7155,954,Metric Tons
Coho,BCWC,2007,7106,931,Metric Tons
Coho,BCWC,2008,7044,910,Metric Tons
Coho,BCWC,2009,6975,902,Metric Tons
Coho,BCWC,2010,6899,918,Metric Tons
Coho,BCWC,2011,6813,963,Metric Tons
Coho,BCWC,2012,6715,1041,Metric Tons
Coho,BCWC,2013,6609,1160,Metric Tons
Coho,BCWC,2014,6505,1329,Metric Tons
Coho,BCWC,2015,6411,1537,Metric Tons
Coho,BeringSea,1976,850,252,Metric Tons
Coho,BeringSea,1977,962,233,Metric Tons
Coho,BeringSea,1978,1093,216,Metric Tons
Coho,BeringSea,1979,1243,205,Metric Tons
Coho,BeringSea,1980,1412,204,Metric Tons
Coho,BeringSea,1981,1591,212,Metric Tons
Coho,BeringSea,1982,1772,232,Metric Tons
Coho,BeringSea,1983,1939,262,Metric Tons
Coho,BeringSea,1984,2082,290,Metric Tons
Coho,BeringSea,1985,2191,308,Metric Tons
Coho,BeringSea,1986,2268,317,Metric Tons
Coho,BeringSea,1987,2319,323,Metric Tons
Coho,BeringSea,1988,2351,329,Metric Tons
Coho,BeringSea,1989,2371,333,Metric Tons
Coho,BeringSea,1990,2375,335,Metric Tons
Coho,BeringSea,1991,2357,337,Metric Tons
Coho,BeringSea,1992,2306,336,Metric Tons
Coho,BeringSea,1993,2213,326,Metric Tons
Coho,BeringSea,1994,2077,302,Metric Tons
Coho,BeringSea,1995,1907,269,Metric Tons
Coho,BeringSea,1996,1721,240,Metric Tons
Coho,BeringSea,1997,1539,219,Metric Tons
Coho,BeringSea,1998,1374,205,Metric Tons
Coho,BeringSea,1999,1236,192,Metric Tons
Coho,BeringSea,2000,1126,179,Metric Tons
Coho,BeringSea,2001,1042,165,Metric Tons
Coho,BeringSea,2002,980,151,Metric Tons
Coho,BeringSea,2003,934,138,Metric Tons
Coho,BeringSea,2004,900,128,Metric Tons
Coho,BeringSea,2005,874,122,Metric Tons
Coho,BeringSea,2006,851,119,Metric Tons
Coho,BeringSea,2007,830,118,Metric Tons
Coho,BeringSea,2008,810,116,Metric Tons
Coho,BeringSea,2009,792,115,Metric Tons
Coho,BeringSea,2010,774,115,Metric Tons
Coho,BeringSea,2011,757,116,Metric Tons
Coho,BeringSea,2012,742,118,Metric Tons
Coho,BeringSea,2013,728,125,Metric Tons
Coho,BeringSea,2014,718,143,Metric Tons
Coho,BeringSea,2015,710,172,Metric Tons
Coho,CentralAK,1976,1866,554,Metric Tons
Coho,CentralAK,1977,2093,511,Metric Tons
